source,target,value
African Development Foundation,Closed,1
African Development Foundation,Open,0
Department of Agriculture,Closed,17
Department of Agriculture,Open,4
Department of Commerce,Closed,8
Department of Commerce,Open,0
Department of Defense,Closed,6
Department of Defense,Open,3
Department of Education,Closed,1
Department of Education,Open,0
Department of Energy,Closed,1
Department of Energy,Open,0
Department of Energy - Agency Wide,Closed,1
Department of Energy - Agency Wide,Open,0
Department of Health and Human Services,Closed,7
Department of Health and Human Services,Open,6
Department of Homeland Security,Closed,9
Department of Homeland Security,Open,1
Department of Justice,Closed,2
Department of Justice,Open,2
Department of State - Agency Wide,Closed,1
Department of State - Agency Wide,Open,0
Department of Transportation,Closed,2
Department of Transportation,Open,5
Department of Transportation - Agency Wide,Closed,0
Department of Transportation - Agency Wide,Open,2
Department of Veterans Affairs,Closed,3
Department of Veterans Affairs,Open,0
Department of the Air Force,Closed,4
Department of the Air Force,Open,8
Department of the Army,Closed,16
Department of the Army,Open,5
Department of the Interior,Closed,3
Department of the Interior,Open,0
Department of the Navy,Closed,6
Department of the Navy,Open,2
Department of the Treasury,Closed,7
Department of the Treasury,Open,4
Environmental Protection Agency,Closed,1
Environmental Protection Agency,Open,1
Executive Office of the President,Closed,0
Executive Office of the President,Open,1
General Services Administration,Closed,1
General Services Administration,Open,0
National Aeronautics and Space Administration,Closed,3
National Aeronautics and Space Administration,Open,0
National Science Foundation,Closed,2
National Science Foundation,Open,0
Nuclear Regulatory Commission,Closed,0
Nuclear Regulatory Commission,Open,1
Office of Personnel Management,Closed,2
Office of Personnel Management,Open,1
Peace Corps,Closed,1
Peace Corps,Open,0
Small Business Administration,Closed,1
Small Business Administration,Open,0
Social Security Administration,Closed,1
Social Security Administration,Open,0
Closed,Eligible?,24
Eligible?,Referred?,16
Referred?,Invited to Interview?,1
Invited to Interview?,Interviewed?,1
