source,target,value
Department of Health and Human Services,Closed,10
Department of Health and Human Services,Open,3
Closed,Eligible,31
Closed,Status unknown,68
Closed,Hiring complete,3
Closed,Job canceled,1
Closed,Ineligible,22
Eligible,Referred,19
Eligible,Status unknown,3
Eligible,Not referred,9
Referred,Interviewed,3
Referred,Status unknown,14
Referred,Not interviewed,2
Interviewed,TJO,1
Interviewed,Status unknown,2
Ineligible,Status unknown,19
Ineligible,Hiring complete,3
Not referred,Status unknown,8
Not referred,Hiring complete,1
Not interviewed,Status unknown,2
Department of Homeland Security,Closed,9
Department of Homeland Security,Open,1
Department of Justice,Closed,3
Department of Justice,Open,4
Department of the Navy,Closed,7
Department of the Navy,Open,1
Department of Defense,Closed,9
Department of the Air Force,Closed,4
Department of the Air Force,Open,10
Department of Transportation,Closed,3
Department of Transportation,Open,6
Department of the Army,Closed,22
Department of the Army,Open,1
Department of Commerce,Closed,8
Department of Commerce,Open,1
Department of the Treasury,Closed,8
Department of the Treasury,Open,5
Small Business Administration,Closed,1
National Aeronautics and Space Administration,Closed,3
Department of the Interior,Closed,3
Department of Energy,Closed,2
Department of Energy,Open,1
Department of Veterans Affairs,Closed,3
Department of Agriculture,Closed,17
Department of Agriculture,Open,7
Peace Corps,Closed,1
Environmental Protection Agency,Closed,2
Environmental Protection Agency,Open,1
National Science Foundation,Closed,2
Office of Personnel Management,Closed,3
African Development Foundation,Closed,1
Department of State,Closed,1
Department of State,Open,1
Social Security Administration,Closed,1
Nuclear Regulatory Commission,Open,1
Department of Education,Closed,1
General Services Administration,Closed,1
Executive Office of the President,Open,1
