PositionTitle,Longitude,Latitude
Data Scientist-Direct Hire Authority,-77.032,38.8904
IT Program Manager,-86.585,34.7291
County Program Analyst,-92.41365,40.750126
Information Technology Specialist -Direct Hire (Information Security),-77.03196,38.89037
Information Technology Specialist-Direct Hire (Information Security),-77.03196,38.89037
Supervisory Contract Specialist,-77.032,38.8904
Supervisory IT Program Manager,-77.20451,39.1366
IT SPECIALIST (APPSW),-86.14996,39.76691
PROJECT MANAGER (BUSINESS INTELLIGENCE),-76.99695,38.873333
SUPERVISORY MANAGEMENT AND PROGRAM ANALYST,-117.12442,32.6757
Economist,-149.82323,61.198734
MANAGER,-77.0468,38.331
Economist,-149.82323,61.198734
INTERDISCIPLINARY INDUSTRIAL ENGINEER & OPERATIONS RESEARCH ANALYST,-76.7301,38.756
Interdisciplinary,-76.1649,39.5021
Contract Support Analyst,-81.6253,31.8625
CONFIGURATION CHANGE MANAGER,-88.55645,30.36536
Supervisory Computer Engineer/Computer Scientist,-96.7313,43.5453
Supervisory Computer Engineer/Computer Scientist,-96.7313,43.5453
Management & Program Analyst,0,0
LEAD CONTRACT SPECIALIST,-122.6257,47.565002
Management and Program Analyst,-77.0969,38.9864
County Program Analyst,-99.20964,48.49139
Management and Program Analyst,-77.032,38.8904
Program Analyst,-87.85609,42.325626
Economist - Direct Hire Authority,-77.032,38.8904
Economist - Direct Hire Authority,-77.032,38.8904
PERFORMANCE ASSESSMENT REPRESENTATIVE,-76.99695,38.873333
Program Analyst,-87.85609,42.325626
County Program Analyst,-73.453,44.6991
COUNTY PROGRAM ANALYST,-92.44565,31.312685
Data Scientist - Direct Hire Authority,-76.7374,39.317
SUPERVISOR,-75.16237,39.95227
SUPERVISORY IT SPECIALIST (PLCYPLN),-75.16237,39.95227
IT SPECIALIST (SYSTEMS ADMINISTRATION),-71.2763,42.4587
Management and Program Analyst,-77.032,38.8904
Contract Specialist,-86.5552,30.4654
Director Quality Assurance Division,-117.8739,33.7491
County Executive Director,-90.34505,45.139256
County Executive Director,-92.45313,45.45279
IT Cyber Spec (PLCYPLN-INFOSEC),-76.297714,36.832638
MANAGEMENT AND PROGRAM ANALYST,-77.032,38.8904
Supervisory Information Technology Specialist,-76.609604,39.290554
Procurement Coordinator,-74.5486,40.9538
Supervisory Information Technology Specialist (Policy and Planning),-77.06204,38.86163
SHIPBUILDING SPECIALIST,-76.31339,36.945
Club Operations Assistant (Flyer's),141.369,40.6831
MANAGEMENT ANALYST,-79.99746,40.43831
Systems Engineer,-90.19952,38.62774
Program Analyst (Transformation),7.85654,49.513
Program Analyst (Transformation),7.85654,49.513
PROGRAM ANALYST,-86.6526,34.6299
Management Analyst,-71.536606,43.20725
CONTRACT SPECIALIST,-77.06204,38.86163
It Specialist (Sysadmin),0,0
LEAD CONTRACT SPECIALIST,12.5874,46.0699
PROJECT MANAGER,-77.66304,39.972042
PROJECT MANAGER,-77.66304,39.972042
Management Analyst,-77.02888,38.99668
Supervisory IT Specialist (OS),0,0
Program Analyst,-77.032,38.8904
MANAGEMENT & PROGRAM ANALYST,-70.749886,43.086872
MANAGEMENT & PROGRAM ANALYST,-70.749886,43.086872
Economist,-149.82323,61.198734
PROGRAM ANALYST,-76.7419,39.1014
IT Specialist (CustSpt),-111.03319,45.679325
IT CYBERSECURITY SPECIALIST (SYSADMIN/INFOSEC),9.1088,48.7298
IT CYBERSECURITY SPECIALIST (PLCYPLN/INFOSEC),-0.7477898,51.628944
MANAGEMENT & PROGRAM ANALYST,-93.6116,32.49727
Supervisory Management and Program Analyst,-81.6558,30.33138
IT SPECIALIST (APPSW),-86.14996,39.76691
Program Analyst (Evaluator),-77.032,38.8904
PROGRAM ANALYST,-77.30812,38.84157
Information Technology Manager (PLCYPLN),8.2423,50.0846
MANAGEMENT AND PROGRAM ANALYST,-89.90249,35.34214
CONTRACT SPECIALIST,0,0
Information Technology Specialist (Policy Planning/Enterprise Architecture),8.2423,50.0846
Statistician,0,0
IT Specialist (APPSW) (Front End Engineer),-76.7374,39.317
GENERAL BUSINESS & INDUSTRIAL SPECIALIST,-72.07072,41.354847
IT CYBERSECURITY SPECIALIST(INFOSEC) (TITLE 5),-78.64267,35.78551
Program Technician,-80.18134,39.42098
IT Specialist,-76.7374,39.317
LEAD MANGAEMENT AND PROGRAM ANALYST,-105.08274,39.71095
MANAGEMENT ANALYST,-122.6257,47.565002
PROGRAM ANALYST (TRAINING AND EXERCISE),-104.7071,38.8279
Management and Program Analyst,-77.032,38.8904
PROGRAM ANALYST,-76.006004,36.78626
